mem.name_extn,info.Is64,info.winBuild,info.npro,info.IsPAE,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.avg_handlers,pslist.nprocs64bit,pslist.outfile,dlllist.ndlls,dlllist.nproc_dll,dlllist.avg_dllPerProc,dlllist.avgSize,dlllist.outfile,handles.nHandles,handles.distinctHandles,handles.nproc,handles.nAccess,handles.avgHandles_per_proc,handles.nTypePort,handles.nTyepProc,handles.nTypeThread,handles.nTypeKey,handles.nTypeEvent,handles.nTypeFile,handles.nTypeDir,handles.nTypeSec,handles.nTypeDesk,handles.nTypeToken,handles.nTypeMutant,handles.nTypeKeyEvent,handles.nTypeSymLink,handles.nTypeSemaph,handles.nTypeWinSta,handles.nTypeTimer,handles.nTypeIO,handles.nTypeWmi,handles.nTypeWaitPort,handles.nTypeJob,handles.nTypeUnknown,ldrmodules.total,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.nporc,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,malfind.avgInjec_per_proc,malfind.tagsVad,malfind.tagsVads,malfind.aveVPN_diff,modules.nmodules,modules.avgSize,modules.FO_enabled,callbacks.ncallbacks,callbacks.nNoDetail,callbacks.nBugCheck,callbacks.nBugCheckReason,callbacks.nCreateProc,callbacks.nCreateThread,callbacks.nLoadImg,callbacks.nRegisterCB,callback.nUnknownType,cmdline.nLine,cmdline.not_in_C,cmdline.n_exe,cmdline.n_bin,devicetree.ndevice,devicetree.nTypeNotDRV,driverirp.nIRP,driverirp.nModules,driverirp.nSymbols,driverirp.n_diff_add,drivermodule.nModules,driverscan.nscan,driverscan.avgSize,envars.nVars,envars.nProc,envars.nBlock,envars.n_diff_var,envars.nValue,filescan.nFiles,filescan.n_diff_file,getsids.nSIDcalls,getsids.nProc,getsids.nDiffName,getsids.n_diff_sids,getsids.avgSIDperProc,mbrscan.nMBRentries,mbrscan.nDiskSig,mbrscan.nPartType,mbrscan.bootable,modscan.nMod,modscan.nUniqueExt,modscan.nDLL,modscan.nSYS,modscan.nEXE,modscan.nOthers,modscan.AvgSize,modscan.MeanChildExist,modscan.FO_Enabled,mutantscan.nMutantObjects,mutantscan.nNamedMutant,netscan.nConn,netscan.nDistinctForeignAdd,netscan.nDistinctForeignPort,netscan.nDistinctLocalAddr,netscan.nDistinctLocalPort,netscan.nOwners,netscan.nDistinctProc,netscan.nListening,netscan.Proto_TCPv4,netscan.Proto_TCPv6,netscan.Proto_UDPv4,netscan.Proto_UDPv6,poolscanner.nPool,poolscanner.nUniquePool,privileges.nTotal,privileges.nUniquePrivilege,privileges.nPID,privileges.nProcess,privileges.nAtt_D,privileges.nAtt_P,privileges.nAtt_PE,privileges.nAtt_PED,privileges.nAtt_NaN,pstree.nTree,pstree.nHandles,pstree.nPID,pstree.nPPID,pstree.AvgThreads,pstree.nWow64,pstree.AvgChildren,registry.certificates.nCert,registry.certificates.nID_Auto,registry.certificates.nID_Protected,registry.certificates.nID_Others,registry.hivelist.nFiles,registry.hivelist.nFO_Enabled,registry.hivescan.nHives,registry.hivescan.Children_exist,registry.printkey.nKeys,registry.printkey.nDistinct,registry.printkey.nType_key,registry.printkey.nType_other,registry.printkey.Volatile_0,registry.printkey.Avg_Children,registry.userassist.n,registry.userassist.nUnique,registry.userassist.Avg_Children,registry.userassist.path_DNE,registry.userassist.type_key,registry.userassist.type_other,sessions.nSessions,sessions.nProcess,sessions.nUsers,sessions.nType,sessions.Children_exist,ssdt.n,ssdt.nIndex,ssdt.nModules,ssdt.nSymbols,ssdt.Children_exist,statistics.Invalid_all,statistics.Invalid_large,statistics.Invalid_other,statistics.Swapped_all,statistics.Swapped_large,statistics.Valid_all,statistics.Valid_large,svcscan.nServices,svcscan.nUniqueServ,svcscan.State_Run,svcscan.State_Stop,svcscan.Start_Sys,svcscan.Start_Auto,svcscan.Type_Own_Share,svcscan.Type_Own,svcscan.Type_Share,svcscan.Type_Own_Interactive,svcscan.Type_Share_Interactive,svcscan.Type_Kernel_Driver,svcscan.Type_FileSys_Driver,svcscan.Type_Others,vadinfo.nEntries,vadinfo.nFile,vadinfo.nPID,vadinfo.nParent,vadinfo.nProcess,vadinfo.Process_Malware,vadinfo.Type_Vad,vadinfo.Type_VadS,vadinfo.Type_VadF,vadinfo.Type_VadI,vadinfo.Protection_RO,vadinfo.Protection_RW,vadinfo.Protection_NA,vadinfo.Protection_EWC,vadinfo.Protection_WC,vadinfo.Protection_ERW,vadinfo.Avg_Children,vadwalk.Avg_Size,verinfo.nEntries,verinfo.nUniqueProg,verinfo.nPID,verinfo.Avg_Children,virtmap.nEntries,virtmap.Avg_Offset_Size,virtmap.Avg_Children
memdump.raw,,,,,48,15,10.354166666666666,472.15555555555557,0,0,1918,36,53.27777777777778,28514645.333333332,0,20356,8587,40,89,508.9,0,216,880,912,12338,1135,93,418,43,368,374,39,5,1464,74,89,173,20,0,1,1714,1179,166,201,166,45,0.14079728583545378,0.17048346055979643,0.14079728583545378,7,24,7,3,2.3333333333333335,0,0,356345,149,180306.46979865772,0,26,0,4,16,5,0,1,0,0,48,25,45,0,133,0,3724,89,20,389,2,133,134487.57894736843,892,34,33,33,49,1700,785,516,48,90,111,10.75,494,263,1,0,168,3,8,131,1,28,54818402.50595238,0.0,0,357,357,111,10,2,6,45,9,15,44,38,38,38,20,3325,9,1680,35,48,32,95,516,7,324,0,6,5,6,4,21.166666666666668,0,0.8333333333333334,32,0,2,30,13,0,18,0,70,54,70,0,66,0.0,5,3,9.6,0,3,2,48,32,4,1,0,395,391,1,392,0,4581,4581,1,363,363,0,0,414,342,201,213,28,113,0,37,148,3,0,203,23,0,5229,544,45,3019,29,0,3229,1084,0,0,854,2038,33,2236,58,8,0.0,590855.4207305412,2067,612,36,0.0,72,2392821304.888889,0.0
cridex.vmem,,,,,17,8,17.470588235294116,261.6470588235294,0,0,738,16,46.125,24976896.0,0,4448,1120,17,86,261.6470588235294,236,72,512,555,1556,706,57,53,19,49,173,16,2,299,30,31,51,27,3,1,0,701,2,18,2,17,0.0028530670470756064,0.025677603423680456,0.0028530670470756064,12,102,12,4,3.0,0,0,1466356,109,108394.8623853211,0,8,0,2,6,0,0,0,0,0,17,6,16,0,89,0,2492,77,19,361,5,89,74021.39325842696,329,16,2,31,34,1171,616,115,17,12,17,6.764705882352941,308,173,1,0,112,3,4,83,1,24,57135152.241071425,0.0,0,147,147,2029,9,332,26,17,12,0,183,18,131,0,2,2,2,2,35.0,0,1.0,127,0,4,123,13,0,13,0,66,34,66,0,61,0.0,4,3,8.5,0,2,2,17,12,4,1,0,322,284,1,284,0,410445,410445,1,0,0,0,0,244,244,114,130,31,35,0,14,63,2,4,147,14,0,2023,244,17,1360,12,0,1078,586,2,0,206,1001,11,739,0,12,0.0,348835.2550667326,847,346,16,0.0
memdump.raw,,,,,48,15,10.354166666666666,472.15555555555557,0,0,1918,36,53.27777777777778,28514645.333333332,0,20356,8587,40,89,508.9,0,216,880,912,12338,1135,93,418,43,368,374,39,5,1464,74,89,173,20,0,1,1714,1179,166,201,166,45,0.14079728583545378,0.17048346055979643,0.14079728583545378,7,24,7,3,2.3333333333333335,0,0,356345,149,180306.46979865772,0,26,0,4,16,5,0,1,0,0,48,25,45,0,133,0,3724,89,20,389,2,133,134487.57894736843,892,34,33,33,49,1700,785,516,48,90,111,10.75,494,263,1,0,168,3,8,131,1,28,54818402.50595238,0.0,0,357,357,111,10,2,6,45,9,15,44,38,38,38,20,3325,9,1680,35,48,32,95,516,7,324,0,6,5,6,4,21.166666666666668,0,0.8333333333333334,32,0,2,30,13,0,18,0,70,54,70,0,66,0.0,5,3,9.6,0,3,2,48,32,4,1,0,395,391,1,392,0,4581,4581,1,363,363,0,0,414,342,201,213,28,113,0,37,148,3,0,203,23,0,5229,544,45,3019,29,0,3229,1084,0,0,854,2038,33,2236,58,8,0.0,590855.4207305412,2067,612,36,0.0,72,2392821304.888889,0.0
charlie-2009-11-16.mddramimage
charlie-2009-11-19.mddramimage,,,,,44,17,13.409090909090908,313.425,0,0,1674,39,42.92307692307692,27757961.846153848,0,12477,1610,40,92,311.925,394,162,1198,1090,4202,1752,126,263,43,66,1974,39,2,856,71,39,129,61,3,1,6,1016,7,35,7,29,0.006889763779527559,0.0344488188976378,0.006889763779527559,21,127,21,4,5.25,0,0,1568747,113,128201.62831858407,0,17,0,2,6,5,1,2,1,0,44,32,40,2,93,0,2604,76,18,351,5,93,88285.59139784946,831,39,2,49,56,4299,2950,293,44,14,20,6.659090909090909,8457,4507,1,0,117,3,5,85,1,26,82610596.73504274,0.0,0,1858,1858,7289,9,870,26,44,34,0,500,66,304,0,4,3,4,4,19.25,0,2.5,134,0,4,130,13,0,16,0,103,73,103,0,98,0.0,4,3,10.75,0,2,2,44,34,4,1,0,322,284,2,280,0,207448,207448,1,0,0,0,0,246,246,135,111,35,40,0,21,61,2,4,142,16,0,5268,537,40,3435,32,0,2762,1620,1,0,792,2643,18,1676,3,21,0.0,-1796379357.428246,1787,617,39,0.0
charlie-2009-11-30.mddramimage,,,,,45,17,13.266666666666667,328.7,0,0,1700,39,43.58974358974359,27745568.82051282,0,13098,1752,40,92,327.45,406,165,1268,1162,4412,1928,126,278,43,67,2022,39,2,863,71,43,138,57,3,1,4,1217,6,35,6,30,0.0049301561216105174,0.02875924404272802,0.0049301561216105174,26,671,26,4,6.5,0,0,3796966,114,128370.52631578948,0,17,0,2,6,5,1,2,1,0,45,33,41,2,94,0,2632,77,18,369,5,94,88875.5744680851,789,36,2,47,51,11534,10077,297,45,14,20,6.6,8114,6269,1,0,117,3,5,85,1,26,54926291.700854704,0.0,0,1892,1892,14593,9,894,26,45,35,0,509,70,315,0,4,3,4,4,19.0,0,2.5,134,0,4,130,13,0,13,0,105,75,105,0,100,0.0,4,3,17.5,0,2,2,45,35,3,1,0,322,284,2,280,0,206335,206335,1,200,200,0,0,247,247,136,111,35,40,0,21,61,2,4,143,16,0,5390,535,40,3508,32,0,2803,1675,1,0,799,2727,19,1702,2,26,0.0,-1747836858.3269017,1814,615,39,0.0
pat-2009-11-16.mddramimage,,,,,58,20,10.241379310344827,333.8611111111111,0,0,1222,23,53.130434782608695,31424161.04347826,0,11618,1649,32,92,363.0625,377,156,1183,902,4001,1711,102,249,36,70,1934,31,1,629,58,36,75,61,3,1,2,9,4642,9,2,4.5,0,0,169742327,114,127861.8947368421,0,17,0,2,6,5,1,2,1,0,58,46,55,1,143,0,4011,77,28,369,6,143,91242.96503496503,330,16,2,43,44,5972,2367,419,58,14,20,7.224137931034483,2014,947,1,0,205,3,15,139,4,47,53538844.858536586,0.0,0,3357,3354,11266,9,1150,26,58,33,0,708,96,346,0,13,2,13,6,5.384615384615385,0,0.6153846153846154,17,0,3,14,13,0,15,0,82,61,82,0,78,0.0,4,3,17.75,0,2,2,58,33,2,1,0,322,284,2,281,0,16977,16977,1,0,0,0,0,245,245,136,109,34,40,0,21,61,2,4,141,16,0,4,3,4,0.0,4777,510,37,3110,30,0,2653,1321,2,0,775,2276,17,1572,5,26,0.0,-1865936903.0020933,1336,556,23,0.0
pat-2009-11-24.mddramimage,,,,,41,16,13.634146341463415,307.55263157894734,0,0,1414,36,39.27777777777778,25106773.333333332,0,11272,1641,32,92,352.25,385,149,1109,976,3877,1489,103,216,36,76,1880,31,1,715,58,38,79,50,3,1,0,402,5,24,5,19,0.012437810945273632,0.05970149253731343,0.012437810945273632,1,0,1,1,1.0,0,0,1048575,114,126819.9298245614,0,17,0,2,6,5,1,2,1,0,41,30,38,1,94,0,2639,77,28,358,5,94,87795.74468085106,406,19,2,41,44,2635,1706,266,41,14,20,6.487804878048781,885,584,1,0,118,3,5,85,1,27,75733198.55084746,0.0,0,1832,1832,5547,9,810,26,41,33,0,466,49,295,0,3,3,3,3,23.333333333333332,0,2.6666666666666665,133,0,4,129,13,0,13,0,97,68,97,0,94,0.0,4,3,19.75,0,2,2,41,33,2,1,0,322,284,2,281,0,254624,254624,1,45,45,0,0,245,245,137,108,34,40,0,21,61,2,4,141,16,0,4425,430,38,2895,31,0,2467,1220,2,0,703,2104,18,1480,2,9,0.0,523771.41310734465,1528,523,36,0.0
charlie-2009-12-01.mddramimage,,,,,41,15,14.195121951219512,319.0263157894737,0,0,1554,37,42.0,26712230.054054055,0,12086,1599,38,92,318.05263157894734,391,156,1182,1036,4061,1655,120,251,40,65,1948,37,2,841,66,38,135,54,3,1,4,1154,8,37,8,30,0.006932409012131715,0.032062391681109186,0.006932409012131715,24,575,24,4,6.0,0,0,3403752,113,128201.62831858407,0,17,0,2,6,5,1,2,1,0,41,29,38,1,93,0,2604,76,18,351,5,93,88285.59139784946,808,37,2,47,51,3574,2408,266,41,14,20,6.487804878048781,4906,3138,1,0,117,3,5,85,1,26,82610596.73504274,0.0,0,1832,1832,6514,9,810,26,41,33,0,455,60,295,0,3,3,3,3,25.333333333333332,0,3.0,134,0,4,130,13,0,13,0,105,75,105,0,100,0.0,4,3,17.5,0,2,2,41,33,3,1,0,322,284,2,280,0,207157,207157,1,0,0,0,0,247,247,135,112,35,40,0,21,61,2,4,143,16,0,4762,472,38,3123,31,0,2542,1318,1,0,708,2345,18,1556,2,24,0.0,-1986713551.9718606,1667,556,37,0.0
